,All_values,Return_binary
0,0010101010101,1
1,0100101010101,0
2,0110101010101,1
3,1000101010101,1
4,0010101010101,0
5,0101001010101,0
6,0110110010101,0
7,1001001100101,0
8,0000110011001,0
9,0010101100110,1
10,0100101011001,1
11,0110101010110,1
12,1000101010101,0
13,0000101010101,0
14,0010101010101,1
15,0100101010101,0
16,0110101010101,0
17,1001001010101,1
18,0000110010101,0
19,0010101100101,0
20,0101001011001,1
21,0110110010110,1
22,1000101100101,1
23,0000101011001,1
24,0010101010110,1
25,0100101010101,0
26,0110101010101,0
27,1001001010101,0
28,0011010010101,0
29,0101010100101,1
30,0110110101001,1
31,1000101101010,1
32,0000101011010,1
33,0010101010110,0
34,0100101010101,1
35,0110101010101,1
36,1001001010101,0
37,0000110010101,0
38,0010101100101,1
39,0100101011001,1
40,0110101010110,0
41,1000101010101,0
42,0000101010101,1
43,0010101010101,1
44,0100101010101,1
45,0110101010101,0
46,1000101010101,0
47,0000101010101,0
48,0010101010101,0
49,0100101010101,1
50,0110101010101,1
51,1000101010101,1
52,0000101010101,0
53,0010101010101,0
54,0100101010101,1
55,0110101010101,1
56,1000101010101,1
57,0000101010101,0
58,0010101010101,0
59,0100101010101,1
60,0110101010101,0
61,1000101010101,0
62,0000101010101,0
63,0010101010101,0
64,0101001010101,1
65,0110110010101,1
66,0000101100101,0
67,0010101011001,0
68,0100101010110,0
69,0110101010101,1
70,1000101010101,0
71,0000101010101,0
72,0010101010101,1
73,0100101010101,0
74,0110101010101,1
75,1000101010101,1
76,0000101010101,0
77,0010101010101,0
78,0101001010101,0
79,0110110010101,1
80,1000101100101,1
81,0000101011001,1
82,0010101010110,1
83,0101001010101,0
84,0110110010101,0
85,1000101100101,0
86,0000101011001,0
87,0010101010110,0
88,0100101010101,0
89,0110101010101,1
90,1000101010101,1
91,0000101010101,0
92,0010101010101,0
93,0100101010101,1
94,0110101010101,0
95,1000101010101,0
96,0010101010101,0
97,0100101010101,1
98,0110101010101,0
99,1000101010101,1
100,0000101010101,0
101,0010101010101,0
102,0100101010101,0
