,All_values,Return_binary
0,0011001010101,1
1,0100110010101,0
2,0110101100101,0
3,1001001011001,0
4,0011010010110,0
5,0100110100101,1
6,0110101101001,1
7,1000101011010,0
8,0001001010110,0
9,0010110010101,1
10,0100101100101,0
11,0111001011001,0
12,1001010010110,1
13,0000110100101,1
14,0010101101001,0
15,0101001011010,1
16,0110110010110,0
17,1001001100101,1
18,0000110011001,1
19,0010101100110,0
20,0101001011001,1
21,0110110010110,1
22,1000101100101,1
23,0000101011001,0
24,0011001010110,1
25,0100110010101,1
26,0110101100101,0
27,1001001011001,1
28,0010110010110,1
29,0100101100101,1
30,0110101011001,1
31,1000101010110,0
32,0001001010101,1
33,0010110010101,0
34,0101001100101,1
35,0110110011001,0
36,1001001100110,0
37,0000110011001,0
38,0011001100110,1
39,0100110011001,1
40,0110101100110,0
41,1001001011001,1
42,0000110010110,1
43,0010101100101,0
44,0100101011001,1
45,0110101010110,1
46,1000101010101,1
47,0000101010101,0
48,0011001010101,0
49,0101010010101,0
50,0110110100101,1
51,1000101101001,1
52,0000101011010,0
53,0011001010110,0
54,0101010010101,1
55,0110110100101,1
56,1000101101001,1
57,0000101011010,1
58,0010101010110,0
59,0100101010101,1
60,0110101010101,1
61,1000101010101,0
62,0001001010101,0
63,0011010010101,1
64,0101010100101,0
65,0111010101001,1
66,0000110101010,1
67,0010101101010,1
68,0100101011010,1
69,0110101010110,1
70,1000101010101,0
71,0001001010101,0
72,0011010010101,1
73,0100110100101,0
74,0111001101001,1
75,1000110011010,0
76,0001001100110,1
77,0010110011001,1
78,0100101100110,0
79,0111001011001,0
80,1001010010110,1
81,0000110100101,0
82,0011001101001,0
83,0101010011010,0
84,0111010100110,0
85,1000110101001,0
86,0001001101010,1
87,0010110011010,0
88,0101001100110,0
89,0110110011001,1
90,1001001100110,1
91,0000110011001,0
92,0011001100110,1
93,0101010011001,0
94,0111010100110,0
95,1001010101001,1
96,0010110101010,0
97,0101001101010,1
98,0110110011010,1
99,1000101100110,1
100,0000101011001,0
101,0011001010110,0
102,0101010010101,0
103,0111010100101,0
104,1001010101001,1
105,0000110101010,0
106,0011001101010,0
107,0101010011010,1
108,0110110100110,1
109,1000101101001,0
110,0000101011010,0
111,0011001010110,0
112,0101010010101,1
113,0110110100101,0
114,1001001101001,0
115,0001010011010,1
116,0010110100110,0
117,0101001101001,1
118,0110110011010,1
119,1000101100110,1
120,0000101011001,1
121,0100101010110,0
122,0111001010101,1
123,1000110010101,0
124,0001001100101,0
125,0011010011001,0
126,0101010100110,0
127,0111010101001,0
128,1000110101010,1
129,0000101101010,1
130,0010101011010,0
131,0101001010110,1
132,0110110010101,0
133,1001001100101,0
134,0001010011001,1
135,0010110100110,1
136,0100101101001,0
137,0111001011010,0
138,1001010010110,1
139,0000110100101,1
140,0010101101001,0
141,0101001011010,1
142,0110110010110,1
143,1000101100101,0
144,0001001011001,0
145,0011010010110,0
146,0101010100101,1
147,0111010101001,1
148,1000110101010,0
149,0001001101010,1
150,0010110011010,1
151,0100101100110,1
152,0110101011001,1
153,1000101010110,0
154,0001001010101,0
155,0011010010101,0
156,0101010100101,0
157,0111010101001,1
158,1001010101010,0
159,0000110101010,1
160,0010101101010,1
161,0100101011010,1
162,0110101010110,1
163,1001001010101,0
164,0011010010101,1
165,0100110100101,0
166,0111001101001,0
167,1001010011010,1
168,0000110100110,1
169,0010101101001,1
170,0100101011010,0
171,0111001010110,0
172,1001010010101,0
173,0001010100101,1
174,0010110101001,1
175,0100101101010,1
176,0110101011010,1
177,1000101010110,0
178,0001001010101,1
179,0010110010101,1
180,0100101100101,0
181,0111001011001,1
182,1000110010110,0
183,0001001100101,0
184,0011010011001,0
185,0100110100110,1
186,0110101101001,0
187,1000101011010,1
188,0000101010110,1
189,0010101010101,0
190,0100101010101,0
191,0110101010101,1
192,1000101010101,1
193,0000101010101,0
194,0011001010101,1
195,0100110010101,1
196,0110101100101,0
197,1000101011001,0
198,0001001010110,0
199,0011010010101,1
200,0100110100101,1
201,0110101101001,1
202,1000101011010,0
203,0001001010110,1
204,0010110010101,1
205,0100101100101,0
206,0110101011001,0
207,1001001010110,0
208,0001010010101,1
209,0010110100101,0
210,0101001101001,1
211,0110110011010,1
212,1000101100110,1
213,0000101011001,1
214,0010101010110,0
215,0100101010101,1
216,0110101010101,1
217,1000101010101,1
218,0000101010101,0
219,0010101010101,0
220,0101001010101,0
