,All_values,Return_to_pred
265,0101010101010,2.0
266,0111010101010,2.0
267,1001010101010,2.0
268,0001010101010,3.0
269,0011010101010,3.0
270,0101010101010,1.0
271,0111010101010,1.0
272,1001010101010,2.0
273,0001010101010,3.0
274,0011010101010,2.0
275,0101010101010,2.0
276,0111010101010,2.0
277,1001010101010,2.0
278,0011010101010,0.0
279,0101010101010,2.0
280,0111010101010,2.0
281,1001010101010,2.0
282,0001010101010,1.0
283,0010110101010,0.0
284,0101001101010,2.0
285,0111010011010,1.0
286,1000110100110,2.0
287,0001001101001,3.0
288,0011010011010,1.0
289,0100110100110,2.0
290,0111001101001,3.0
291,1001010011010,2.0
292,0001010100110,2.0
293,0011010101001,2.0
294,0101010101010,3.0
295,0111010101010,3.0
296,1001010101010,2.0
297,0000110101010,2.0
298,0011001101010,1.0
299,0101010011010,2.0
300,0111010100110,2.0
301,1001010101001,4.0
302,0001010101010,1.0
303,0010110101010,2.0
304,0101001101010,1.0
305,0111010011010,2.0
306,1001010100110,2.0
307,0001010101001,2.0
308,0011010101010,2.0
309,0101010101010,2.0
310,0111010101010,1.0
311,0001010101010,3.0
312,0011010101010,2.0
313,0101010101010,1.0
314,0111010101010,2.0
315,1001010101010,2.0
316,0001010101010,3.0
317,0011010101010,2.0
318,0101010101010,1.0
319,0111010101010,4.0
320,1001010101010,3.0
321,0001010101010,2.0
322,0010110101010,4.0
323,0101001101010,2.0
324,0110110011010,2.0
325,1001001100110,1.0
326,0001010011001,2.0
327,0011010100110,3.0
328,0101010101001,2.0
329,0110110101010,2.0
330,1001001101010,3.0
331,0001010011010,1.0
332,0010110100110,1.0
333,0101001101001,2.0
334,0111010011010,3.0
335,1001010100110,1.0
336,0001010101001,1.0
337,0011010101010,2.0
338,0101010101010,1.0
339,0111010101010,3.0
340,1001010101010,2.0
341,0000110101010,2.0
342,0011001101010,2.0
343,0101010011010,2.0
344,0111010100110,1.0
345,1001010101001,3.0
346,0011010101010,3.0
347,0101010101010,3.0
348,0111010101010,3.0
349,1001010101010,2.0
350,0001010101010,2.0
351,0011010101010,1.0
352,0101010101010,1.0
353,0111010101010,2.0
354,1001010101010,2.0
355,0001010101010,2.0
356,0011010101010,2.0
357,0101010101010,2.0
358,0111010101010,4.0
359,1001010101010,1.0
360,0001010101010,2.0
361,0011010101010,2.0
362,0101010101010,2.0
363,0111010101010,1.0
364,1001010101010,2.0
365,0001010101010,3.0
366,0011010101010,3.0
367,0101010101010,2.0
368,0110110101010,2.0
369,1001001101010,2.0
370,0001010011010,2.0
371,0011010100110,2.0
372,0111010101001,2.0
373,1001010101010,2.0
374,0001010101010,2.0
375,0011010101010,2.0
376,0101010101010,2.0
377,0111010101010,2.0
378,1001010101010,2.0
379,0001010101010,2.0
380,0011010101010,0.0
381,0101010101010,4.0
382,0111010101010,2.0
383,1001010101010,0.0
384,0001010101010,0.0
385,0011010101010,0.0
386,0101010101010,0.0
387,0111010101010,3.0
388,1001010101010,1.0
389,0001010101010,2.0
390,0011010101010,2.0
391,0101010101010,2.0
392,0111010101010,2.0
393,1001010101010,3.0
394,0000110101010,2.0
395,0010101101010,4.0
396,0101001011010,1.0
397,0110110010110,2.0
398,1001001100101,1.0
399,0001010011001,1.0
400,0011010100110,3.0
401,0101010101001,4.0
402,0110110101010,2.0
403,1000101101010,2.0
404,0001001011010,4.0
405,0011010010110,2.0
406,0100110100101,1.0
407,0111001101001,3.0
408,1001010011010,2.0
409,0000110100110,0.0
410,0011001101001,3.0
411,0101010011010,1.0
412,0111010100110,3.0
413,1001010101001,2.0
414,0011010101010,2.0
415,0101010101010,2.0
416,0111010101010,2.0
417,1001010101010,0.0
418,0001010101010,3.0
419,0011010101010,2.0
420,0100110101010,3.0
421,0111001101010,2.0
422,1001010011010,2.0
423,0001010100110,2.0
424,0011010101001,0.0
425,0101010101010,0.0
426,0110110101010,0.0
427,1001001101010,3.0
428,0001010011010,4.0
429,0010110100110,3.0
430,0100101101001,2.0
431,0110101011010,0.0
432,1000101010110,2.0
433,0001001010101,2.0
434,0011010010101,2.0
435,0101010100101,2.0
436,0111010101001,2.0
437,1001010101010,2.0
438,0001010101010,1.0
439,0011010101010,3.0
440,0101010101010,0.0
441,0111010101010,2.0
442,1000110101010,2.0
443,0001001101010,2.0
444,0011010011010,1.0
445,0101010100110,2.0
446,0111010101001,2.0
447,1001010101010,2.0
