,All_values,Return_to_pred
1509,1001001100110,4.0
1510,0101010011001,4.0
1511,0110110100110,2.0
1512,1000101101001,2.0
1513,0001001011010,2.0
1514,0010110010110,3.0
1515,0101001100101,4.0
1516,0111010011001,2.0
1517,1000110100110,3.0
1518,0011001101001,0.0
1519,0100110011010,1.0
1520,0111001100110,2.0
1521,1001010011001,1.0
1522,0000110100110,0.0
1523,0011001101001,2.0
1524,0101010011010,2.0
1525,0111010100110,0.0
1526,1001010101001,4.0
1527,0001010101010,1.0
1528,0010110101010,4.0
1529,0101001101010,4.0
1530,0110110011010,2.0
1531,1000101100110,2.0
1532,0000101011001,2.0
1533,0010101010110,2.0
1534,0100101010101,3.0
1535,0111001010101,1.0
1536,1000110010101,3.0
1537,0001001100101,2.0
1538,0010110011001,1.0
1539,0100101100110,2.0
1540,0111001011001,1.0
1541,1001010010110,2.0
1542,0011010100101,1.0
1543,0101010101001,1.0
1544,0111010101010,2.0
1545,1001010101010,1.0
1546,0001010101010,1.0
1547,0011010101010,2.0
1548,0101010101010,2.0
1549,0110110101010,1.0
1550,1000101101010,1.0
1551,0001001011010,2.0
1552,0011010010110,1.0
1553,0101010100101,2.0
1554,0111010101001,2.0
1555,1001010101010,3.0
1556,0001010101010,0.0
1557,0010110101010,0.0
1558,0101001101010,3.0
1559,0111010011010,2.0
1560,1000110100110,4.0
1561,0000101101001,3.0
1562,0010101011010,3.0
1563,0100101010110,0.0
1564,0110101010101,2.0
1565,1001001010101,1.0
1566,0001010010101,2.0
1567,0011010100101,2.0
1568,0101010101001,1.0
1569,0110110101010,2.0
1570,1001001101010,2.0
1571,0001010011010,4.0
1572,0011010100110,1.0
1573,0100110101001,3.0
1574,0111001101010,3.0
1575,0000110011010,0.0
1576,0010101100110,1.0
1577,0101001011001,1.0
1578,0111010010110,3.0
1579,1001010100101,2.0
1580,0000110101001,3.0
1581,0011001101010,3.0
1582,0100110011010,0.0
1583,0110101100110,2.0
1584,1001001011001,0.0
1585,0001010010110,1.0
1586,0011010100101,2.0
1587,0101010101001,0.0
1588,0110110101010,0.0
1589,1001001101010,2.0
1590,0001010011010,2.0
1591,0011010100110,1.0
1592,0100110101001,1.0
1593,0110101101010,3.0
1594,1001001011010,1.0
1595,0000110010110,1.0
1596,0011001100101,2.0
1597,0101010011001,0.0
1598,0111010100110,2.0
1599,1001010101001,2.0
1600,0000110101010,0.0
1601,0010101101010,3.0
1602,0101001011010,2.0
1603,0110110010110,2.0
1604,1000101100101,1.0
1605,0000101011001,4.0
1606,0011001010110,2.0
1607,0100110010101,2.0
1608,0111001100101,1.0
1609,1000110011001,4.0
1610,0011001100110,2.0
1611,0100110011001,2.0
1612,0110101100110,1.0
1613,1001001011001,0.0
1614,0001010010110,1.0
1615,0011010100101,1.0
1616,0101010101001,0.0
1617,0111010101010,3.0
1618,1001010101010,0.0
1619,0000110101010,1.0
1620,0011001101010,1.0
1621,0101010011010,2.0
1622,0111010100110,0.0
1623,1001010101001,1.0
1624,0001010101010,4.0
1625,0011010101010,3.0
1626,0100110101010,2.0
1627,0110101101010,2.0
1628,1001001011010,2.0
1629,0001010010110,0.0
1630,0011010100101,4.0
1631,0101010101001,4.0
1632,0110110101010,1.0
1633,1001001101010,3.0
1634,0001010011010,4.0
1635,0011010100110,3.0
1636,0110110101001,3.0
1637,1000101101010,4.0
1638,0000101011010,0.0
1639,0010101010110,3.0
1640,0101001010101,2.0
1641,0110110010101,1.0
1642,1000101100101,3.0
1643,0001001011001,2.0
1644,0010110010110,1.0
1645,0100101100101,4.0
1646,0111001011001,0.0
1647,1000110010110,2.0
1648,0001001100101,3.0
1649,0011010011001,1.0
1650,0100110100110,2.0
1651,0111001101001,0.0
1652,1000110011010,1.0
1653,0001001100110,0.0
1654,0011010011001,1.0
1655,0101010100110,2.0
1656,0111010101001,3.0
1657,1001010101010,0.0
1658,0000110101010,4.0
1659,0011001101010,2.0
1660,0100110011010,0.0
1661,0111001100110,2.0
1662,1001010011001,3.0
1663,0001010100110,1.0
1664,0011010101001,0.0
1665,0101010101010,4.0
1666,0111010101010,1.0
1667,1000110101010,3.0
1668,0001001101010,4.0
1669,0010110011010,4.0
1670,0100101100110,0.0
1671,0110101011001,4.0
1672,1001001010110,0.0
1673,0000110010101,0.0
1674,0011001100101,4.0
1675,0101010011001,3.0
1676,0110110100110,3.0
1677,1000101101001,4.0
1678,0010101011010,0.0
1679,0100101010110,1.0
1680,0111001010101,0.0
1681,1001010010101,1.0
1682,0001010100101,4.0
1683,0011010101001,0.0
1684,0100110101010,2.0
1685,0111001101010,2.0
1686,1001010011010,0.0
1687,0000110100110,3.0
1688,0011001101001,3.0
1689,0101010011010,1.0
