,All_values,Return_to_pred
4101,0010101010101,2.0
4102,0100101010101,2.0
4103,0110101010101,2.0
4104,1000101010101,1.0
4105,0010101010101,2.0
4106,0101001010101,1.0
4107,0110110010101,2.0
4108,1001001100101,2.0
4109,0000110011001,3.0
4110,0010101100110,2.0
4111,0100101011001,3.0
4112,0110101010110,1.0
4113,1000101010101,2.0
4114,0000101010101,3.0
4115,0010101010101,2.0
4116,0100101010101,1.0
4117,0110101010101,3.0
4118,1001001010101,2.0
4119,0000110010101,2.0
4120,0010101100101,2.0
4121,0101001011001,2.0
4122,0110110010110,2.0
4123,1000101100101,3.0
4124,0000101011001,2.0
4125,0010101010110,1.0
4126,0100101010101,0.0
4127,0110101010101,2.0
4128,1001001010101,1.0
4129,0011010010101,3.0
4130,0101010100101,2.0
4131,0110110101001,2.0
4132,1000101101010,2.0
4133,0000101011010,2.0
4134,0010101010110,3.0
4135,0100101010101,2.0
4136,0110101010101,2.0
4137,1001001010101,2.0
4138,0000110010101,2.0
4139,0010101100101,2.0
4140,0100101011001,1.0
4141,0110101010110,1.0
4142,1000101010101,2.0
4143,0000101010101,2.0
4144,0010101010101,3.0
4145,0100101010101,2.0
4146,0110101010101,2.0
4147,1000101010101,2.0
4148,0000101010101,2.0
4149,0010101010101,2.0
4150,0100101010101,2.0
4151,0110101010101,2.0
4152,1000101010101,2.0
4153,0000101010101,1.0
4154,0010101010101,2.0
4155,0100101010101,2.0
4156,0110101010101,2.0
4157,1000101010101,2.0
4158,0000101010101,1.0
4159,0010101010101,2.0
4160,0100101010101,2.0
4161,0110101010101,2.0
4162,1000101010101,1.0
4163,0000101010101,1.0
4164,0010101010101,3.0
4165,0101001010101,2.0
4166,0110110010101,1.0
4167,0000101100101,1.0
4168,0010101011001,2.0
4169,0100101010110,3.0
4170,0110101010101,1.0
4171,1000101010101,1.0
4172,0000101010101,3.0
4173,0010101010101,2.0
4174,0100101010101,4.0
4175,0110101010101,2.0
4176,1000101010101,1.0
4177,0000101010101,1.0
4178,0010101010101,2.0
4179,0101001010101,3.0
4180,0110110010101,3.0
4181,1000101100101,2.0
4182,0000101011001,3.0
4183,0010101010110,2.0
4184,0101001010101,2.0
4185,0110110010101,2.0
4186,1000101100101,1.0
4187,0000101011001,1.0
4188,0010101010110,1.0
4189,0100101010101,2.0
4190,0110101010101,3.0
4191,1000101010101,1.0
4192,0000101010101,2.0
4193,0010101010101,2.0
4194,0100101010101,2.0
4195,0110101010101,2.0
4196,1000101010101,1.0
4197,0010101010101,3.0
4198,0100101010101,2.0
4199,0110101010101,2.0
4200,1000101010101,1.0
4201,0000101010101,2.0
4202,0010101010101,2.0
4203,0100101010101,3.0
4204,0110101010101,2.0
4205,1000101010101,1.0
4206,0000101010101,1.0
4207,0010101010101,2.0
4208,0100101010101,4.0
4209,0110101010101,2.0
4210,1000101010101,2.0
4211,0000101010101,2.0
4212,0010101010101,3.0
4213,0100101010101,2.0
4214,0110101010101,3.0
4215,1000101010101,2.0
4216,0000101010101,1.0
4217,0010101010101,1.0
4218,0100101010101,0.0
4219,0110101010101,0.0
4220,1000101010101,3.0
4221,0000101010101,2.0
4222,0100101010101,3.0
4223,0110101010101,2.0
4224,1000101010101,2.0
4225,0000101010101,2.0
4226,0010101010101,2.0
4227,0100101010101,2.0
4228,0110101010101,2.0
4229,1000101010101,2.0
4230,0000101010101,2.0
4231,0010101010101,3.0
4232,0100101010101,2.0
4233,0110101010101,2.0
4234,1000101010101,3.0
4235,0000101010101,4.0
4236,0010101010101,2.0
4237,0100101010101,0.0
4238,0110101010101,2.0
4239,1001001010101,2.0
4240,0000110010101,2.0
4241,0010101100101,2.0
4242,0100101011001,3.0
4243,0110101010110,2.0
4244,1000101010101,1.0
4245,0000101010101,1.0
4246,0010101010101,1.0
4247,0100101010101,3.0
