,All_values,Return_to_pred
0,0111001101010,3.0
1,1001010011010,2.0
2,0000110100110,2.0
3,0011001101001,2.0
4,0101010011010,2.0
5,0110110100110,2.0
6,1001001101001,1.0
7,0001010011010,3.0
8,0010110100110,2.0
9,0100101101001,3.0
10,0111001011010,4.0
11,1000110010110,4.0
12,0000101100101,3.0
13,0011001011001,2.0
14,0100110010110,0.0
15,0110101100101,1.0
16,1001001011001,0.0
17,0001010010110,4.0
18,0011010100101,0.0
19,0100110101001,3.0
20,0111001101010,2.0
21,1000110011010,3.0
22,0001001100110,2.0
23,0010110011001,2.0
24,0100101100110,2.0
25,0110101011001,1.0
26,1000101010110,2.0
27,0001001010101,2.0
28,0010110010101,1.0
29,0100101100101,1.0
30,0111001011001,3.0
31,1001010010110,0.0
32,0000110100101,3.0
33,0011001101001,2.0
34,0100110011010,2.0
35,0110101100110,2.0
36,1000101011001,2.0
37,0000101010110,2.0
38,0010101010101,3.0
39,0100101010101,3.0
40,1000101010101,0.0
41,0000101010101,1.0
42,0011001010101,4.0
43,0101010010101,3.0
44,0110110100101,4.0
45,1000101101001,4.0
46,0000101011010,4.0
47,0010101010110,3.0
48,0100101010101,0.0
49,0110101010101,1.0
50,1001001010101,4.0
51,0001010010101,1.0
52,0010110100101,2.0
53,0101001101001,3.0
54,0110110011010,0.0
55,1000101100110,2.0
56,0001001011001,2.0
57,0010110010110,2.0
58,0110101100101,2.0
59,1000101011001,2.0
60,0001001010110,2.0
61,0010110010101,1.0
62,0110101100101,1.0
63,1001001011001,2.0
64,0001010010110,3.0
65,0010110100101,2.0
66,0101001101001,0.0
67,0111010011010,1.0
68,1001010100110,1.0
69,0001010101001,3.0
70,0011010101010,2.0
71,0100110101010,3.0
72,0110101101010,2.0
73,1000101011010,1.0
74,0010101010110,2.0
75,0101001010101,1.0
76,0110110010101,1.0
77,1001001100101,3.0
78,0001010011001,2.0
79,0010110100110,1.0
80,0100101101001,3.0
81,0110101011010,1.0
82,1000101010110,2.0
83,0001001010101,2.0
84,0011010010101,0.0
85,0100110100101,2.0
86,0111001101001,2.0
87,1001010011010,2.0
88,0000110100110,1.0
89,0010101101001,1.0
90,0101001011010,2.0
91,0111010010110,4.0
92,1000110100101,1.0
93,0010101101001,4.0
94,0101001011010,4.0
95,0110110010110,4.0
96,1000101100101,1.0
97,0000101011001,2.0
98,0011001010110,1.0
99,0101010010101,1.0
100,0111010100101,4.0
101,1001010101001,4.0
102,0000110101010,1.0
103,0010101101010,3.0
104,0101001011010,4.0
105,0110110010110,0.0
106,1000101100101,4.0
107,0001001011001,0.0
108,0010110010110,2.0
109,0101001100101,2.0
110,0110110011001,0.0
111,1001001100110,3.0
112,0001010011001,2.0
113,0010110100110,4.0
114,0100101101001,1.0
115,0110101011010,2.0
116,1000101010110,3.0
117,0000101010101,1.0
118,0010101010101,0.0
119,0101001010101,3.0
120,0111010010101,2.0
121,1000110100101,1.0
122,0000101101001,1.0
123,0010101011010,2.0
124,0100101010110,0.0
125,0110101010101,0.0
126,1001001010101,0.0
127,0001010010101,4.0
128,0011010100101,4.0
129,0100110101001,0.0
130,0110101101010,0.0
131,1001001011010,4.0
132,0001010010110,2.0
133,0010110100101,4.0
134,0100101101001,4.0
135,0110101011010,2.0
136,0000101010110,3.0
137,0011001010101,2.0
138,0100110010101,2.0
139,0110101100101,2.0
140,1001001011001,0.0
141,0000110010110,2.0
142,0011001100101,1.0
143,0100110011001,1.0
144,0111001100110,2.0
145,1001010011001,1.0
146,0000110100110,1.0
147,0011001101001,0.0
148,0101010011010,0.0
149,0111010100110,0.0
150,1001010101001,2.0
151,0001010101010,1.0
152,0011010101010,2.0
153,0101010101010,4.0
154,0110110101010,2.0
155,1000101101010,4.0
156,0000101011010,0.0
157,0010101010110,3.0
158,0101001010101,3.0
159,0110110010101,2.0
160,1000101100101,3.0
161,0010101011001,4.0
162,0100101010110,4.0
163,0110101010101,1.0
164,1000101010101,0.0
165,0000101010101,1.0
166,0011001010101,3.0
167,0101010010101,3.0
168,0110110100101,3.0
169,1000101101001,3.0
170,0000101011010,4.0
171,0010101010110,2.0
172,0100101010101,2.0
173,0110101010101,1.0
174,1000101010101,4.0
175,0000101010101,0.0
176,0010101010101,4.0
177,0101001010101,2.0
178,0110110010101,3.0
179,1000101100101,1.0
180,0000101011001,3.0
181,0011001010110,2.0
182,0100110010101,1.0
183,0110101100101,3.0
184,1001001011001,3.0
185,0000110010110,2.0
186,0010101100101,2.0
187,0100101011001,2.0
188,0110101010110,0.0
189,0000101010101,2.0
190,0011001010101,3.0
191,0100110010101,1.0
192,0110101100101,4.0
193,1000101011001,1.0
194,0000101010110,3.0
195,0011001010101,0.0
196,0100110010101,0.0
197,0111001100101,2.0
198,1001010011001,4.0
199,0000110100110,3.0
200,0010101101001,0.0
201,0100101011010,2.0
202,0111001010110,0.0
203,1001010010101,2.0
204,0001010100101,0.0
205,0011010101001,2.0
206,0101010101010,0.0
207,0111010101010,2.0
208,1001010101010,4.0
209,0000110101010,2.0
210,0010101101010,3.0
211,0100101011010,1.0
212,0110101010110,0.0
213,1001001010101,2.0
214,0001010010101,0.0
215,0011010100101,4.0
216,0101010101001,2.0
217,0111010101010,3.0
218,1000110101010,3.0
219,0000101101010,4.0
220,0010101011010,2.0
221,0100101010110,2.0
222,0110101010101,1.0
223,1000101010101,2.0
224,0001001010101,2.0
225,0010110010101,4.0
226,0100101100101,3.0
227,0110101011001,1.0
228,1000101010110,0.0
229,0011001010101,0.0
230,0101010010101,4.0
231,0111010100101,2.0
232,1000110101001,1.0
233,0000101101010,0.0
234,0011001011010,2.0
235,0101010010110,1.0
236,0110110100101,2.0
237,1001001101001,0.0
238,0000110011010,2.0
239,0011001100110,3.0
240,0100110011001,3.0
241,0110101100110,1.0
242,1000101011001,0.0
243,0001001010110,2.0
244,0011010010101,4.0
245,0100110100101,0.0
246,0110101101001,2.0
247,1001001011010,1.0
248,0001010010110,0.0
249,0010110100101,0.0
250,0101001101001,2.0
251,0111010011010,4.0
252,1000110100110,0.0
253,0000101101001,1.0
254,0011001011010,3.0
255,0101010010110,0.0
256,0110110100101,0.0
257,1001001101001,0.0
258,0001010011010,4.0
259,0011010100110,2.0
260,0100110101001,4.0
261,0110101101010,1.0
262,1000101011010,2.0
263,0001001010110,2.0
264,0010110010101,1.0
265,0101001100101,2.0
266,0111010011001,3.0
267,1001010100110,1.0
268,0000110101001,3.0
269,0011001101010,2.0
270,0100110011010,2.0
271,0111001100110,4.0
272,1001010011001,2.0
273,0000110100110,1.0
274,0010101101001,2.0
275,0101001011010,2.0
276,0110110010110,1.0
277,1000101100101,2.0
278,0001001011001,0.0
